ID_CLIENTE,EDAD,EXPERIENCIA_LABORAL,INGRESOS_ANUALES_USD,CODIGO_POSTAL,INTEGRANTES_FAMILIA,PROMEDIO_GASTO_TARJETA,NIVEL_EDUCATIVO,VALOR_HIPOTECA,ACEPTO_CREDITO?,TIENE_INVERSIONES?,USA_HOME_BANKING?
ID_CLIENTE_0001,25,1,49000,91107,4,"1,6",Secundario Incompleto,0,No,Si,No
ID_CLIENTE_0002,45,19,34000,90089,3,"1,5",Secundario Incompleto,0,No,Si,No
ID_CLIENTE_0003,39,15,11000,94720,1,"1,0",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0004,35,9,100000,94112,1,"2,7",Secundario Completo,0,No,No,No
ID_CLIENTE_0005,35,8,45000,91330,4,"1,0",Secundario Completo,0,No,No,No
ID_CLIENTE_0006,37,13,29000,92121,4,"0,4",Secundario Completo,155,No,No,Si
ID_CLIENTE_0007,53,27,72000,91711,2,"1,5",Secundario Completo,0,No,No,Si
ID_CLIENTE_0008,50,24,22000,93943,1,"0,3",Universitario Completo,0,No,No,No
ID_CLIENTE_0009,35,10,81000,90089,3,"0,6",Secundario Completo,104,No,No,Si
ID_CLIENTE_0010,34,9,180000,93023,1,"8,9",Universitario Completo,0,Si,No,No
ID_CLIENTE_0011,65,39,105000,94710,4,"2,4",Universitario Completo,0,No,No,No
ID_CLIENTE_0012,29,5,45000,90277,3,"0,1",Secundario Completo,0,No,No,Si
ID_CLIENTE_0013,48,23,114000,93106,2,"3,8",Universitario Completo,0,No,Si,No
ID_CLIENTE_0014,59,32,40000,94920,4,"2,5",Secundario Completo,0,No,No,Si
ID_CLIENTE_0015,67,41,112000,91741,1,"2,0",Secundario Incompleto,0,No,Si,No
ID_CLIENTE_0016,60,30,22000,95054,1,"1,5",Universitario Completo,0,No,No,Si
ID_CLIENTE_0017,38,14,130000,95010,4,"4,7",Universitario Completo,134,Si,No,No
ID_CLIENTE_0018,42,18,81000,94305,4,"2,4",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0019,46,21,193000,91604,2,"8,1",Universitario Completo,0,Si,No,No
ID_CLIENTE_0020,55,28,21000,94720,1,"0,5",Secundario Completo,0,No,Si,No
ID_CLIENTE_0021,56,31,25000,94015,4,"0,9",Secundario Completo,111,No,No,Si
ID_CLIENTE_0022,57,27,63000,90095,3,"2,0",Universitario Completo,0,No,No,Si
ID_CLIENTE_0023,29,5,62000,90277,1,"1,2",Secundario Incompleto,260,No,No,Si
ID_CLIENTE_0024,44,18,43000,91320,2,"0,7",Secundario Incompleto,163,No,Si,No
ID_CLIENTE_0025,36,11,152000,95521,2,"3,9",Secundario Incompleto,159,No,No,No
ID_CLIENTE_0026,43,19,29000,94305,3,"0,5",Secundario Incompleto,97,No,No,Si
ID_CLIENTE_0027,40,16,83000,95064,4,"0,2",Universitario Completo,0,No,No,No
ID_CLIENTE_0028,46,20,158000,90064,1,"2,4",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0029,56,30,48000,94539,1,"2,2",Universitario Completo,0,No,No,Si
ID_CLIENTE_0030,38,13,119000,94104,1,"3,3",Secundario Completo,0,Si,No,Si
ID_CLIENTE_0031,59,35,35000,93106,1,"1,2",Universitario Completo,122,No,No,Si
ID_CLIENTE_0032,40,16,29000,94117,1,"2,0",Secundario Completo,0,No,No,Si
ID_CLIENTE_0033,53,28,41000,94801,2,"0,6",Universitario Completo,193,No,No,No
ID_CLIENTE_0034,30,6,18000,91330,3,"0,9",Universitario Completo,0,No,No,No
ID_CLIENTE_0035,31,5,50000,94035,4,"1,8",Universitario Completo,0,No,No,Si
ID_CLIENTE_0036,48,24,81000,92647,3,"0,7",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0037,59,35,121000,94720,1,"2,9",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0038,51,25,71000,95814,1,"1,4",Universitario Completo,198,No,No,No
ID_CLIENTE_0039,42,18,141000,94114,3,"5,0",Universitario Completo,0,Si,Si,Si
ID_CLIENTE_0040,38,13,80000,94115,4,"0,7",Universitario Completo,285,No,No,Si
ID_CLIENTE_0041,57,32,84000,92672,3,"1,6",Universitario Completo,0,No,Si,No
ID_CLIENTE_0042,34,9,60000,94122,3,"2,3",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0043,32,7,132000,90019,4,"1,1",Secundario Completo,412,Si,No,Si
ID_CLIENTE_0044,39,15,45000,95616,1,"0,7",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0045,46,20,104000,94065,1,"5,7",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0046,57,31,52000,94720,4,"2,5",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0047,39,14,43000,95014,3,"0,7",Secundario Completo,153,No,No,Si
ID_CLIENTE_0048,37,12,194000,91380,4,"0,2",Universitario Completo,211,Si,Si,Si
ID_CLIENTE_0049,56,26,81000,95747,2,"4,5",Universitario Completo,0,No,No,No
ID_CLIENTE_0050,40,16,49000,92373,1,"1,8",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0051,32,8,8000,92093,4,"0,7",Secundario Completo,0,No,Si,Si
ID_CLIENTE_0052,61,37,131000,94720,1,"2,9",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0053,30,6,72000,94005,1,"0,1",Secundario Incompleto,207,No,No,No
ID_CLIENTE_0054,50,26,190000,90245,3,"2,1",Universitario Completo,240,Si,No,Si
ID_CLIENTE_0055,29,5,44000,95819,1,"0,2",Universitario Completo,0,No,No,Si
ID_CLIENTE_0056,41,17,139000,94022,2,"8,0",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0057,55,30,29000,94005,3,"0,1",Secundario Completo,0,No,Si,Si
ID_CLIENTE_0058,56,31,131000,95616,2,"1,2",Universitario Completo,0,Si,No,No
ID_CLIENTE_0059,28,2,93000,94065,2,"0,2",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0060,31,5,188000,91320,2,"4,5",Secundario Incompleto,455,No,No,No
ID_CLIENTE_0061,49,24,39000,90404,3,"1,7",Secundario Completo,0,No,Si,Si
ID_CLIENTE_0062,47,21,125000,93407,1,"5,7",Secundario Incompleto,112,No,Si,No
ID_CLIENTE_0063,42,18,22000,90089,1,"1,0",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0064,42,17,32000,94523,4,"0,0",Secundario Completo,0,No,No,Si
ID_CLIENTE_0065,47,23,105000,90024,2,"3,3",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0066,59,35,131000,91360,1,"3,8",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0067,62,36,105000,95670,2,"2,8",Secundario Incompleto,336,No,No,No
ID_CLIENTE_0068,53,23,45000,95123,4,"2,0",Universitario Completo,132,No,Si,No
ID_CLIENTE_0069,47,21,60000,93407,3,"2,1",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0070,53,29,20000,90045,4,"0,2",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0071,42,18,115000,91335,1,"3,5",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0072,53,29,69000,93907,4,"1,0",Secundario Completo,0,No,No,Si
ID_CLIENTE_0073,44,20,130000,92007,1,"5,0",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0074,41,16,85000,94606,1,"4,0",Universitario Completo,0,No,No,Si
ID_CLIENTE_0075,28,3,135000,94611,2,"3,3",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0076,31,7,135000,94901,4,"3,8",Secundario Completo,0,Si,No,Si
ID_CLIENTE_0077,58,32,12000,91320,3,"0,3",Universitario Completo,0,No,No,No
ID_CLIENTE_0078,46,20,29000,92220,3,"0,5",Secundario Completo,0,No,No,No
ID_CLIENTE_0079,54,30,133000,93305,2,"2,6",Universitario Completo,0,Si,No,No
ID_CLIENTE_0080,50,26,19000,94720,2,"0,4",Secundario Incompleto,118,No,No,Si
ID_CLIENTE_0081,60,36,41000,95134,4,"1,3",Secundario Incompleto,174,No,No,Si
ID_CLIENTE_0082,47,22,40000,94612,3,"2,7",Secundario Completo,0,No,No,Si
ID_CLIENTE_0083,41,16,82000,92507,1,"4,0",Universitario Completo,0,No,No,Si
ID_CLIENTE_0084,33,9,50000,94305,1,"2,4",Secundario Completo,0,No,No,No
ID_CLIENTE_0085,46,22,18000,91730,1,"0,9",Universitario Completo,0,No,No,Si
ID_CLIENTE_0086,27,2,109000,94005,4,"1,8",Universitario Completo,0,No,No,No
ID_CLIENTE_0087,40,16,42000,94501,4,"2,2",Secundario Completo,126,No,No,No
ID_CLIENTE_0088,48,22,78000,94305,3,"1,1",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0089,65,41,51000,94117,2,"1,1",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0090,25,-1,113000,94303,4,"2,3",Universitario Completo,0,No,No,No
ID_CLIENTE_0091,55,30,118000,90277,4,"5,6",Secundario Completo,0,Si,No,Si
ID_CLIENTE_0092,35,10,29000,94105,4,"1,1",Universitario Completo,0,No,No,Si
ID_CLIENTE_0093,43,19,34000,94305,3,"0,6",Secundario Completo,0,No,No,No
ID_CLIENTE_0094,60,34,64000,94550,2,"1,7",Universitario Completo,236,No,Si,Si
ID_CLIENTE_0095,65,39,121000,92612,1,"2,0",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0096,38,12,48000,95617,4,"0,2",Universitario Completo,0,No,No,Si
ID_CLIENTE_0097,41,15,80000,95014,1,"5,2",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0098,54,28,161000,92121,1,"2,9",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0099,49,23,94000,92374,1,"0,3",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0100,66,41,15000,91711,3,"0,1",Universitario Completo,0,No,No,Si
ID_CLIENTE_0101,48,23,74000,94080,1,"1,2",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0102,61,36,30000,94608,3,"1,3",Secundario Completo,0,No,No,No
ID_CLIENTE_0103,53,23,44000,93555,3,"1,0",Universitario Completo,198,No,No,Si
ID_CLIENTE_0104,43,18,22000,95670,2,"0,3",Secundario Completo,0,No,No,Si
ID_CLIENTE_0105,56,32,38000,93311,4,"1,3",Secundario Incompleto,166,No,No,Si
ID_CLIENTE_0106,24,0,35000,94704,3,"0,1",Secundario Completo,0,No,Si,Si
ID_CLIENTE_0107,43,17,69000,92717,4,"2,9",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0108,42,18,43000,92037,1,"0,7",Secundario Incompleto,136,No,No,No
ID_CLIENTE_0109,33,7,32000,95136,1,"0,6",Universitario Completo,166,No,No,Si
ID_CLIENTE_0110,43,17,49000,94542,1,"2,8",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0111,41,14,9000,91330,3,"1,0",Secundario Completo,0,No,No,No
ID_CLIENTE_0112,62,38,45000,94143,4,"1,3",Secundario Completo,0,No,No,Si
ID_CLIENTE_0113,40,15,82000,91775,3,"1,0",Secundario Incompleto,309,No,No,No
ID_CLIENTE_0114,58,34,92000,92703,2,"2,8",Secundario Incompleto,103,No,No,No
ID_CLIENTE_0115,39,14,39000,92354,3,"0,5",Universitario Completo,0,No,No,Si
ID_CLIENTE_0116,65,40,81000,92024,3,"1,8",Secundario Completo,0,No,No,Si
ID_CLIENTE_0117,54,29,35000,92831,1,"1,5",Secundario Completo,0,No,No,Si
ID_CLIENTE_0118,58,33,61000,92833,2,"2,3",Universitario Completo,193,No,No,Si
ID_CLIENTE_0119,41,16,73000,92647,3,"3,0",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0120,32,7,112000,94304,1,"4,6",Secundario Incompleto,366,No,No,No
ID_CLIENTE_0121,54,29,12000,90057,2,"0,2",Universitario Completo,0,No,No,Si
ID_CLIENTE_0122,52,26,38000,91711,3,"0,9",Universitario Completo,0,No,No,Si
ID_CLIENTE_0123,58,32,73000,94523,2,"0,7",Secundario Completo,0,No,No,Si
ID_CLIENTE_0124,37,13,84000,92130,1,"3,6",Secundario Completo,0,No,Si,No
ID_CLIENTE_0125,39,15,78000,92121,4,"2,4",Secundario Incompleto,118,No,No,Si
ID_CLIENTE_0126,60,35,80000,91301,3,"0,5",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0127,31,5,115000,92096,2,"1,3",Secundario Incompleto,101,No,No,Si
ID_CLIENTE_0128,34,8,82000,92646,1,"2,7",Secundario Completo,251,No,No,Si
ID_CLIENTE_0129,38,14,74000,92182,2,"0,0",Secundario Incompleto,0,No,Si,Si
ID_CLIENTE_0130,41,16,70000,92131,3,"0,5",Universitario Completo,0,No,No,No
ID_CLIENTE_0131,28,4,81000,94801,3,"1,5",Secundario Incompleto,276,No,No,Si
ID_CLIENTE_0132,58,34,149000,93720,4,"7,2",Secundario Completo,0,Si,No,Si
ID_CLIENTE_0133,31,1,51000,90840,2,"1,75",Universitario Completo,0,No,No,No
ID_CLIENTE_0134,30,4,39000,90245,3,"1,1",Secundario Completo,0,No,No,Si
ID_CLIENTE_0135,53,29,98000,95035,3,"1,8",Secundario Completo,0,No,No,No
ID_CLIENTE_0136,58,33,45000,93010,4,"2,1",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0137,59,32,49000,95035,4,"2,5",Secundario Completo,0,No,No,Si
ID_CLIENTE_0138,49,25,128000,95054,2,"0,4",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0139,59,34,42000,94928,3,"1,5",Secundario Incompleto,0,No,Si,No
ID_CLIENTE_0140,59,35,18000,93305,1,"1,2",Universitario Completo,0,No,No,Si
ID_CLIENTE_0141,51,25,31000,90245,2,"0,4",Universitario Completo,161,No,No,Si
ID_CLIENTE_0142,35,11,58000,95831,3,"2,0",Secundario Incompleto,149,No,No,Si
ID_CLIENTE_0143,33,9,48000,91770,1,"2,1",Universitario Completo,0,No,No,No
ID_CLIENTE_0144,25,1,54000,94117,4,"1,6",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0145,49,23,70000,92093,2,"1,5",Secundario Completo,0,No,No,No
ID_CLIENTE_0146,59,35,124000,90007,1,"7,4",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0147,46,19,84000,94102,1,"2,67",Secundario Completo,0,No,No,Si
ID_CLIENTE_0148,50,25,83000,94542,4,"3,6",Universitario Completo,188,No,No,Si
ID_CLIENTE_0149,52,28,163000,91423,2,"0,4",Secundario Incompleto,116,No,No,Si
ID_CLIENTE_0150,48,22,42000,93955,3,"2,2",Secundario Completo,0,No,No,No
ID_CLIENTE_0151,46,22,118000,94107,2,"7,5",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0152,26,0,132000,92834,3,"6,5",Universitario Completo,0,Si,No,No
ID_CLIENTE_0153,57,32,24000,93117,1,"1,3",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0154,60,36,22000,94551,2,"1,0",Secundario Incompleto,0,No,Si,Si
ID_CLIENTE_0155,54,29,58000,92612,4,"1,3",Universitario Completo,0,No,No,No
ID_CLIENTE_0156,24,0,60000,94596,4,"1,6",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0157,26,0,15000,92131,4,"0,4",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0158,41,17,83000,94025,4,"2,67",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0159,32,6,79000,94720,2,"1,5",Universitario Completo,0,No,No,Si
ID_CLIENTE_0160,61,35,41000,94545,4,"1,7",Secundario Completo,0,No,Si,Si
ID_CLIENTE_0161,29,0,134000,95819,4,"6,5",Universitario Completo,0,Si,No,No
ID_CLIENTE_0162,61,35,80000,95053,2,"2,8",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0163,38,12,52000,90036,1,"2,0",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0164,28,4,70000,91125,4,"2,6",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0165,53,27,92000,95120,2,"1,1",Secundario Incompleto,0,No,Si,No
ID_CLIENTE_0166,27,1,43000,94706,1,"1,5",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0167,25,1,21000,95827,3,"1,0",Secundario Completo,0,No,No,No
ID_CLIENTE_0168,33,9,23000,94305,3,"0,9",Universitario Completo,0,No,No,Si
ID_CLIENTE_0169,50,26,13000,91320,4,"1,0",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0170,27,1,112000,90503,4,"2,1",Universitario Completo,0,No,No,No
ID_CLIENTE_0171,27,1,138000,90250,2,"2,0",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0172,52,28,11000,95817,3,"0,4",Secundario Incompleto,0,No,Si,No
ID_CLIENTE_0173,38,13,171000,92717,2,"7,8",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0174,58,34,42000,90095,4,"1,5",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0175,42,17,168000,95503,2,"7,9",Secundario Completo,0,Si,No,Si
ID_CLIENTE_0176,45,20,85000,91711,4,"1,1",Secundario Completo,0,No,Si,Si
ID_CLIENTE_0177,52,25,44000,93111,3,"1,0",Secundario Completo,135,No,No,Si
ID_CLIENTE_0178,29,3,65000,94132,4,"1,8",Secundario Completo,244,No,No,No
ID_CLIENTE_0179,53,29,24000,95818,4,"0,2",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0180,62,37,11000,91942,1,"0,1",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0181,51,27,38000,90401,2,"1,0",Universitario Completo,164,No,No,Si
ID_CLIENTE_0182,36,12,10000,93524,4,"0,7",Secundario Completo,81,No,No,No
ID_CLIENTE_0183,24,0,135000,95133,1,"1,5",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0184,29,3,148000,92173,3,"4,1",Secundario Incompleto,0,Si,No,Si
ID_CLIENTE_0185,52,26,63000,92717,2,"1,5",Secundario Completo,0,No,Si,Si
ID_CLIENTE_0186,39,14,115000,91320,1,"1,0",Universitario Completo,0,No,No,Si
ID_CLIENTE_0187,48,23,45000,95616,1,"0,3",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0188,46,21,159000,94305,3,"1,9",Universitario Completo,315,Si,No,Si
ID_CLIENTE_0189,64,40,169000,91320,2,"2,1",Secundario Incompleto,122,No,No,Si
ID_CLIENTE_0190,55,29,112000,94043,2,"1,4",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0191,60,36,93000,92521,1,"4,3",Secundario Incompleto,0,No,No,Si
